,y_pred_exp,y_test_exp
139,2591049.0,2690000.0
140,53992.0,69900.0
141,905083.0,1599000.0
142,152353.0,219900.0
143,275762.0,215000.0
144,246845.0,239900.0
145,147858.0,109950.0
146,160173.0,74900.0
147,424976.0,359000.0
148,209120.0,170000.0
149,246798.0,425000.0
150,159359.0,133500.0
151,274439.0,269000.0
152,1073902.0,875000.0
153,120522.0,158480.0
154,698089.0,873050.0
155,242388.0,278990.0
156,595233.0,631900.0
157,191635.0,275000.0
158,189136.0,234900.0
159,168385.0,75000.0
160,469954.0,650000.0
161,592173.0,530000.0
162,248751.0,379888.0
163,123613.0,56000.0
164,267838.0,271990.0
165,291281.0,369900.0
166,199567.0,214900.0
167,409703.0,389000.0
168,452065.0,425000.0
169,547539.0,690000.0
170,60071.0,92900.0
171,47616.0,115000.0
172,1272864.0,1699000.0
173,227393.0,235500.0
174,221214.0,139990.0
175,160523.0,109900.0
176,555918.0,679000.0
177,269251.0,270000.0
178,238672.0,199900.0
179,165313.0,149000.0
180,379854.0,289500.0
181,132844.0,65500.0
182,233008.0,267000.0
183,337252.0,359900.0
184,293680.0,198500.0
185,152322.0,167950.0
186,3758035.0,4595000.0
187,110642.0,13500.0
188,685207.0,555000.0
189,27641.0,24800.0
190,553108.0,955000.0
191,657989.0,637000.0
192,281049.0,310000.0
193,1329063.0,1375000.0
194,879834.0,999900.0
195,161015.0,169900.0
196,310020.0,291000.0
197,262708.0,169000.0
198,550686.0,409900.0
199,312563.0,362000.0
200,767817.0,699000.0
201,408551.0,468500.0
202,411367.0,499000.0
203,237189.0,352300.0
204,561301.0,479500.0
205,280677.0,350000.0
206,242248.0,359900.0
207,176001.0,79900.0
208,1392428.0,1298000.0
209,1516354.0,4795000.0
210,285902.0,361360.0
211,1551.0,1000.0
212,929599.0,455000.0
213,437458.0,440000.0
214,366845.0,519537.0
215,199571.0,149900.0
216,519179.0,634900.0
217,59829.0,59900.0
218,705794.0,398000.0
219,1112111.0,498900.0
220,988946.0,775000.0
221,34669.0,10000.0
222,258550.0,249999.0
223,295044.0,205000.0
224,521374.0,354900.0
225,250949.0,274408.0
226,240462.0,385000.0
227,817846.0,829950.0
228,314326.0,320000.0
229,285717.0,224000.0
230,955863.0,1259000.0
231,68927.0,170000.0
232,384164.0,465000.0
233,278514.0,235000.0
234,311737.0,325000.0
235,717636.0,795000.0
236,98336.0,120000.0
237,222220.0,125000.0
238,108817.0,82000.0
239,157826.0,159500.0
240,375195.0,325000.0
241,379270.0,439500.0
242,302813.0,304581.0
243,511165.0,450000.0
244,337083.0,289000.0
245,155440.0,49900.0
246,104168.0,244900.0
247,569861.0,610000.0
248,1172836.0,790000.0
249,183360.0,145000.0
250,623853.0,800000.0
251,523450.0,1050000.0
252,209847.0,259900.0
253,18269.0,34900.0
254,325215.0,375000.0
255,117224.0,124900.0
256,262582.0,249900.0
257,270314.0,223785.0
258,383961.0,394999.0
259,49600.0,15995.0
260,96213.0,79900.0
261,136479.0,139900.0
262,284488.0,319000.0
263,163545.0,228000.0
264,178929.0,150000.0
265,107422.0,95000.0
266,598385.0,384500.0
267,309567.0,310000.0
268,296256.0,359900.0
269,572896.0,405000.0
270,290654.0,99000.0
271,192380.0,209990.0
272,186301.0,194900.0
273,286116.0,352500.0
274,316763.0,344960.0
275,404591.0,350000.0
276,116509.0,32500.0
277,10961.0,9500.0
278,290399.0,259999.0
279,69427.0,65000.0
280,517556.0,550000.0
281,316899.0,375000.0
282,6003177.0,6995000.0
283,143053.0,179900.0
284,245275.0,219000.0
285,248163.0,225000.0
286,504082.0,545900.0
287,517895.0,530000.0
288,279766.0,319000.0
289,325477.0,210000.0
290,219435.0,98900.0
291,132014.0,47500.0
292,737061.0,599000.0
293,103938.0,58000.0
294,72320.0,368000.0
295,382640.0,415000.0
296,217073.0,165000.0
297,340946.0,336710.0
298,163587.0,187900.0
299,863115.0,1790000.0
300,7652431.0,4800000.0
301,63288.0,59900.0
302,28541.0,119900.0
303,86091.0,89900.0
304,1472173.0,1125000.0
305,762010.0,998000.0
306,403662.0,699950.0
307,1879281.0,997250.0
308,224529.0,185000.0
309,400854.0,412500.0
310,319661.0,239000.0
311,691362.0,499900.0
312,1598950.0,1750000.0
313,658370.0,663904.0
314,559293.0,378999.0
315,1685002.0,2595000.0
316,1042072.0,1399000.0
317,42739.0,20000.0
318,244982.0,224900.0
319,196965.0,124900.0
320,26720.0,55900.0
321,512655.0,625000.0
322,531981.0,395000.0
323,142219.0,109900.0
324,362867.0,283900.0
325,476877.0,549000.0
326,139088.0,225000.0
327,364666.0,369000.0
328,97583.0,111875.0
329,482296.0,648989.0
330,1183524.0,899950.0
331,153251.0,225000.0
332,52618.0,48500.0
333,1223067.0,695000.0
334,225090.0,259000.0
335,257324.0,318900.0
336,224150.0,215000.0
337,8388108.0,6500000.0
338,415983.0,414919.0
339,137013.0,129900.0
340,308214.0,314000.0
341,59190.0,28800.0
342,292702.0,265000.0
343,127090.0,64900.0
344,874961.0,1610000.0
345,358415.0,339900.0
346,466913.0,448990.0
347,240122.0,400000.0
348,830987.0,1799000.0
349,343534.0,275000.0
350,192519.0,247500.0
351,186061.0,208000.0
352,299423.0,269000.0
353,108821.0,150000.0
354,262067.0,379000.0
355,381361.0,659000.0
356,394323.0,410000.0
357,307874.0,249990.0
358,2839629.0,1925000.0
359,293571.0,266000.0
360,54825.0,26000.0
361,440394.0,750000.0
362,883516.0,950000.0
363,270938.0,199350.0
364,288061.0,290000.0
365,5462156.0,6250000.0
366,228028.0,221500.0
367,1462447.0,975000.0
368,1328932.0,729000.0
369,540978.0,589000.0
370,152809.0,114405.0
371,1135929.0,1186077.0
372,384296.0,444900.0
373,144795.0,179900.0
374,150224.0,179900.0
375,2745938.0,3000000.0
376,273712.0,230000.0
377,239208.0,285774.0
378,52242.0,75000.0
379,199692.0,185000.0
380,1475462.0,1700000.0
381,242018.0,220000.0
382,211403.0,149900.0
383,228155.0,209900.0
384,1038476.0,1584000.0
385,525341.0,675000.0
386,617089.0,929000.0
387,189698.0,179900.0
388,197255.0,219000.0
389,204856.0,410000.0
390,156828.0,229900.0
391,149790.0,160273.0
392,33421.0,29000.0
393,297491.0,270000.0
394,426869.0,319000.0
395,61989.0,33900.0
396,881.0,1000.0
397,198001.0,237950.0
398,30776.0,14955.0
399,148768.0,175000.0
400,183036.0,162500.0
401,495639.0,384700.0
402,329479.0,379900.0
403,913137.0,699500.0
404,51120.0,249900.0
405,153637.0,82500.0
406,300962.0,459900.0
407,1262221.0,895000.0
408,385873.0,429000.0
409,585665.0,579000.0
410,215643.0,178000.0
411,410402.0,430000.0
412,222433.0,190000.0
413,382304.0,330000.0
414,80517.0,60000.0
415,443454.0,450000.0
416,829549.0,675000.0
417,53617.0,89900.0
418,60241.0,29900.0
419,515169.0,425000.0
420,768760.0,1795000.0
421,2142136.0,2175000.0
422,100056.0,75000.0
423,258809.0,225000.0
424,446836.0,427681.0
425,458778.0,599900.0
426,193837.0,166500.0
427,284686.0,368000.0
428,480462.0,438000.0
429,183219.0,220000.0
430,297475.0,325000.0
431,305230.0,195900.0
432,100218.0,149900.0
433,460658.0,621900.0
434,232250.0,620000.0
435,207185.0,232675.0
436,317389.0,286000.0
437,210576.0,239000.0
438,1287829.0,1260000.0
439,352543.0,260000.0
440,1031261.0,2240000.0
441,398444.0,459999.0
442,5181941.0,10800000.0
443,318712.0,218900.0
444,820996.0,1100000.0
445,205105.0,210000.0
446,137740.0,45000.0
447,1680315.0,2750000.0
448,498243.0,482900.0
449,1178380.0,1175000.0
450,875484.0,999000.0
451,239028.0,265000.0
452,529181.0,749000.0
453,239092.0,182500.0
454,245860.0,156900.0
455,418612.0,525000.0
456,631038.0,779000.0
457,57458.0,17900.0
458,139479.0,135000.0
459,277518.0,267500.0
460,601734.0,499000.0
461,772407.0,639990.0
462,190848.0,230000.0
463,358262.0,277000.0
464,44453.0,89900.0
465,481549.0,574900.0
466,291215.0,245000.0
467,1419461.0,999000.0
468,174741.0,159995.0
469,105737.0,88700.0
470,88384.0,75000.0
471,1552462.0,1400000.0
472,176908.0,1500000.0
473,116087.0,299000.0
474,239858.0,299000.0
475,350811.0,489000.0
476,396870.0,360905.0
477,381509.0,825000.0
478,903227.0,1595000.0
479,900995.0,519000.0
480,396416.0,273166.0
481,333803.0,330888.0
482,1080634.0,1150000.0
483,138591.0,270000.0
484,303508.0,249900.0
485,1054236.0,1199000.0
486,238027.0,255000.0
487,634571.0,536000.0
488,144739.0,169900.0
489,157213.0,100000.0
490,609267.0,450000.0
491,1212570.0,1975000.0
492,270910.0,355000.0
493,34693.0,15000.0
494,3314447.0,4495000.0
495,367348.0,367087.0
496,350341.0,314990.0
497,271348.0,265000.0
498,48672.0,34500.0
499,1843775.0,2799000.0
500,3452367.0,6390000.0
501,135458.0,229000.0
502,1872968.0,1859950.0
503,1072989.0,1299000.0
504,198496.0,179900.0
505,150555.0,58000.0
506,536776.0,165000.0
507,246931.0,269900.0
508,360552.0,419900.0
509,359514.0,470000.0
510,2814489.0,2995000.0
511,72628.0,65000.0
512,167637.0,145000.0
513,385136.0,359900.0
514,340076.0,365000.0
515,830829.0,299900.0
516,214603.0,292990.0
517,255421.0,205000.0
518,421687.0,425000.0
519,396300.0,259500.0
520,393808.0,489000.0
521,301381.0,292990.0
522,1287338.0,990000.0
523,304760.0,320000.0
524,161150.0,185000.0
525,544315.0,689999.0
526,632236.0,625000.0
527,311518.0,244900.0
528,804154.0,799500.0
529,251566.0,127800.0
530,511149.0,499000.0
531,242652.0,189900.0
532,395928.0,332500.0
533,194560.0,179000.0
534,1015184.0,429000.0
535,657436.0,950000.0
536,655815.0,599000.0
537,67562.0,91500.0
538,535980.0,399900.0
539,525440.0,575000.0
540,375736.0,385990.0
541,461108.0,429000.0
542,59007.0,85000.0
543,30038.0,18000.0
544,429056.0,449000.0
545,316827.0,309000.0
546,83164.0,149900.0
547,2398771.0,5600000.0
548,297765.0,374000.0
549,4254879.0,4295000.0
550,415185.0,429950.0
551,212787.0,159000.0
552,543027.0,389000.0
553,180362.0,180000.0
554,288825.0,243754.0
555,1089673.0,998000.0
556,650037.0,499999.0
557,642804.0,689950.0
558,121033.0,159000.0
559,568282.0,660000.0
560,372618.0,339999.0
561,416820.0,480000.0
562,47308.0,18500.0
563,587096.0,1275000.0
564,613627.0,599000.0
565,1163375.0,888888.0
566,459807.0,389900.0
567,203620.0,139000.0
568,8159356.0,12750000.0
569,114282.0,158024.0
570,248726.0,291990.0
571,351437.0,464900.0
572,85575.0,100833.0
573,354721.0,495000.0
574,896805.0,719000.0
575,478144.0,339000.0
576,740042.0,545000.0
577,594494.0,205000.0
578,184793.0,46900.0
579,397452.0,359900.0
580,181701.0,219990.0
581,176870.0,150000.0
582,930549.0,775000.0
583,223882.0,198000.0
584,397616.0,399000.0
585,232970.0,169900.0
586,244307.0,224500.0
587,223067.0,269900.0
588,171867.0,175000.0
589,471687.0,391990.0
590,230710.0,219900.0
591,185186.0,165000.0
592,276087.0,199950.0
593,760419.0,654000.0
594,202110.0,217900.0
595,190776.0,170000.0
596,678047.0,650000.0
597,6121707.0,18500000.0
598,1212245.0,2000000.0
599,148145.0,145108.0
600,568047.0,590900.0
601,1203934.0,1600000.0
602,281115.0,434900.0
603,751949.0,889000.0
604,292642.0,525000.0
605,554772.0,499000.0
606,940653.0,1070000.0
607,462213.0,599000.0
608,292130.0,995000.0
609,267511.0,274500.0
610,72274.0,139976.0
611,274833.0,375000.0
612,203888.0,210000.0
613,76909.0,21000.0
614,421697.0,381995.0
615,572630.0,995000.0
616,273400.0,269900.0
617,154360.0,249000.0
618,258581.0,265000.0
619,167186.0,70000.0
620,1685.0,1000.0
621,234797.0,329900.0
622,215179.0,234900.0
623,665953.0,839900.0
624,405146.0,969000.0
625,426606.0,345000.0
626,114979.0,83900.0
627,277566.0,272097.0
628,52097.0,42000.0
629,161708.0,75000.0
630,371447.0,385000.0
631,53573.0,32999.0
632,186550.0,155000.0
633,41484.0,90000.0
634,740505.0,1599999.0
635,169528.0,245920.0
636,473782.0,500000.0
637,1149.0,1000.0
638,761169.0,749000.0
639,389031.0,255000.0
640,272278.0,269900.0
641,268663.0,279900.0
642,232403.0,179900.0
643,158643.0,295000.0
644,429990.0,337000.0
645,10467365.0,9999950.0
646,310407.0,175000.0
647,278859.0,375000.0
648,549776.0,599000.0
649,103039.0,239000.0
650,205275.0,272500.0
651,763709.0,999900.0
652,135076.0,92600.0
653,289320.0,245000.0
654,196481.0,2377505.0
655,361700.0,249990.0
656,380820.0,314000.0
657,82219.0,39975.0
658,236701.0,415000.0
659,459331.0,515000.0
660,511118.0,489000.0
661,5192340.0,3188000.0
662,316460.0,396990.0
663,168479.0,119900.0
664,623049.0,989000.0
665,99307.0,85000.0
666,237683.0,287000.0
667,859688.0,979000.0
668,227581.0,295000.0
669,299310.0,239000.0
670,1158592.0,1250000.0
671,252097.0,314990.0
672,1134007.0,1650000.0
673,386755.0,453275.0
674,124470.0,159000.0
675,1450944.0,1675000.0
676,216235.0,164000.0
677,210920.0,389900.0
678,216170.0,299000.0
679,244750.0,225000.0
680,304641.0,309900.0
681,858234.0,699900.0
682,544808.0,1499000.0
683,475641.0,489900.0
684,482239.0,369000.0
685,1734900.0,2450000.0
686,216736.0,374900.0
687,54408.0,10000.0
688,725848.0,699950.0
689,258973.0,279900.0
690,468168.0,419000.0
691,1656917.0,1650000.0
692,228866.0,298500.0
693,146833.0,150000.0
694,363757.0,260000.0
695,269186.0,45000.0
696,930206.0,1350000.0
697,295521.0,244980.0
698,396404.0,285000.0
699,163001.0,172900.0
700,267791.0,275000.0
701,421002.0,371000.0
702,240829.0,243900.0
703,328763.0,309940.0
704,74209.0,115000.0
705,1470382.0,4500000.0
706,721239.0,649000.0
707,191350.0,225000.0
708,173615.0,525000.0
709,179645.0,218000.0
710,211557.0,192000.0
711,243506.0,213000.0
712,377603.0,399000.0
713,213398.0,179900.0
714,1141729.0,1799950.0
715,762254.0,995000.0
716,401800.0,375000.0
717,15621.0,55419.0
718,175612.0,184900.0
719,3008077.0,1950000.0
720,118609.0,116500.0
721,264164.0,299000.0
722,272436.0,300000.0
723,3166606.0,3499000.0
724,236729.0,270000.0
725,409787.0,564900.0
726,446334.0,331990.0
727,362611.0,280000.0
728,752450.0,675000.0
729,264855.0,295000.0
730,223019.0,219900.0
731,142654.0,172900.0
732,350787.0,469900.0
733,439325.0,700000.0
734,392096.0,299000.0
735,83037.0,96990.0
736,329553.0,239500.0
737,192317.0,229000.0
738,554421.0,541900.0
739,322944.0,388900.0
740,352666.0,344900.0
741,418184.0,276890.0
742,375214.0,352523.0
743,908672.0,2199000.0
744,20702.0,5000.0
745,706593.0,699000.0
746,121642.0,125000.0
747,209856.0,179400.0
748,377273.0,360000.0
749,224454.0,274950.0
750,187083.0,294980.0
751,502317.0,550000.0
752,152302.0,248095.0
753,26688.0,12500.0
754,646351.0,664000.0
755,636989.0,589000.0
756,1016067.0,1588800.0
757,294534.0,227000.0
758,265145.0,211900.0
759,147452.0,185000.0
760,203616.0,285000.0
761,213501.0,259900.0
762,163199.0,165000.0
763,469217.0,485000.0
764,57820.0,214000.0
765,39112.0,45000.0
766,1477498.0,1899000.0
767,308760.0,4000000.0
768,297115.0,159900.0
769,457356.0,950000.0
770,84210.0,119900.0
771,465449.0,324900.0
772,188067.0,230000.0
773,605122.0,439000.0
774,162641.0,170000.0
775,281599.0,189999.0
776,140266.0,600000.0
777,700858.0,519000.0
778,104328.0,202765.0
779,770504.0,849900.0
780,1185292.0,1190000.0
781,81731.0,149900.0
782,304814.0,309000.0
783,484162.0,485000.0
784,230619.0,224900.0
785,28995.0,45000.0
786,328563.0,399900.0
787,112216.0,219000.0
788,396552.0,580000.0
789,388523.0,66000.0
790,253085.0,254900.0
791,171859.0,165000.0
792,126610.0,495000.0
793,127480.0,120000.0
794,416902.0,359999.0
795,899009.0,668000.0
796,485072.0,975000.0
797,486610.0,560000.0
798,906078.0,715000.0
799,60136.0,65000.0
800,726327.0,517000.0
801,260622.0,280000.0
802,835286.0,600000.0
803,71570.0,30000.0
804,767804.0,775000.0
805,191574.0,100000.0
806,256673.0,310000.0
807,50414.0,83000.0
808,629173.0,969900.0
809,320276.0,242900.0
810,120186.0,80000.0
811,248382.0,324900.0
812,253888.0,314500.0
813,56151.0,15000.0
814,144350.0,229999.0
815,180187.0,139999.0
816,360737.0,335000.0
817,497178.0,155000.0
818,297238.0,399000.0
819,350921.0,500000.0
820,166321.0,180000.0
821,526574.0,699950.0
822,184881.0,155000.0
823,365525.0,469000.0
824,126304.0,145000.0
825,325326.0,315000.0
826,239719.0,277020.0
827,803530.0,799000.0
828,472888.0,359900.0
829,422259.0,600000.0
830,486992.0,362000.0
831,2454604.0,2795000.0
832,509685.0,599000.0
833,666644.0,899950.0
834,2436226.0,1849000.0
835,56777.0,127478.0
836,50107.0,115000.0
837,252685.0,289500.0
838,65898.0,21900.0
839,605385.0,437480.0
840,401622.0,294990.0
841,850062.0,1298000.0
842,814138.0,1599000.0
843,371365.0,345000.0
844,1071097.0,1690000.0
845,200325.0,115000.0
846,255621.0,199500.0
847,245852.0,129000.0
848,454033.0,699000.0
849,7847.0,5000.0
850,872888.0,1175000.0
851,299945.0,409000.0
852,1101754.0,1400000.0
853,80382.0,17500.0
854,98172.0,189900.0
855,121532.0,174000.0
856,160412.0,130000.0
857,183656.0,229900.0
858,309130.0,624000.0
859,1750959.0,879000.0
860,591509.0,549000.0
861,179138.0,174605.0
862,53908.0,23000.0
863,446226.0,399990.0
864,200782.0,199900.0
865,71201.0,299000.0
866,658649.0,550000.0
867,271160.0,275000.0
868,265302.0,259000.0
869,237839.0,258000.0
870,521411.0,379500.0
871,16941.0,8000.0
872,228925.0,167900.0
873,820901.0,1150000.0
874,303116.0,310990.0
875,300401.0,205900.0
876,369589.0,319000.0
877,363345.0,345000.0
878,2479242.0,1990000.0
879,276934.0,219000.0
880,63618.0,42000.0
881,412086.0,189000.0
882,460398.0,349900.0
883,395118.0,315000.0
884,3695669.0,4795000.0
885,718848.0,1250000.0
886,454019.0,335000.0
887,386013.0,431523.0
888,20850.0,24900.0
889,310276.0,305000.0
890,184463.0,179000.0
891,229423.0,89000.0
892,130946.0,179900.0
893,216337.0,265000.0
894,341588.0,339900.0
895,1811694.0,2350000.0
896,2093261.0,3099000.0
897,862728.0,899000.0
898,344080.0,564900.0
899,508266.0,559000.0
900,198868.0,244034.0
901,215165.0,149900.0
902,562303.0,550000.0
903,108113.0,57000.0
904,145473.0,75000.0
905,49729.0,22000.0
906,141123.0,89988.0
907,492084.0,408990.0
908,190189.0,165000.0
909,262610.0,289000.0
910,170777.0,175000.0
911,95441.0,130000.0
912,259760.0,244900.0
913,264171.0,299500.0
914,595499.0,1699999.0
915,256225.0,350000.0
916,1586295.0,1900000.0
917,283871.0,317004.0
918,1429181.0,485000.0
919,581385.0,589900.0
920,299073.0,79000.0
921,192302.0,210000.0
922,169643.0,185000.0
923,334678.0,349110.0
924,856586.0,839000.0
925,117986.0,104900.0
926,47136.0,48000.0
927,75901.0,109000.0
928,663786.0,699900.0
929,167112.0,617218.0
930,69968.0,80000.0
931,139837.0,84000.0
932,89616.0,59999.0
933,150354.0,189000.0
934,257453.0,275000.0
935,1842355.0,895000.0
936,3114929.0,4288000.0
937,217663.0,154900.0
938,178253.0,184900.0
939,342891.0,359990.0
940,191002.0,219000.0
941,395716.0,396235.0
942,80226.0,30000.0
943,470244.0,975000.0
944,412486.0,425000.0
945,244784.0,239000.0
946,51107.0,19500.0
947,329231.0,256900.0
948,230537.0,240000.0
949,236627.0,239499.0
950,268319.0,378950.0
951,508457.0,515000.0
952,715445.0,599000.0
953,404891.0,279990.0
954,393124.0,529000.0
955,2088437.0,3400000.0
956,140835.0,248888.0
957,422095.0,299000.0
958,192158.0,259900.0
959,715511.0,539000.0
960,1028729.0,870000.0
961,412815.0,439000.0
962,720131.0,1200000.0
963,293137.0,251990.0
964,303900.0,350000.0
965,21665.0,58871.0
966,1353689.0,2100000.0
967,464477.0,589900.0
968,746199.0,549900.0
969,106531.0,75000.0
970,993138.0,1750000.0
971,290205.0,645000.0
972,816730.0,775000.0
973,5336496.0,5690000.0
974,689317.0,499995.0
975,986333.0,705000.0
976,1389.0,1000.0
977,284427.0,305000.0
978,70866.0,35000.0
979,230057.0,279990.0
980,11274.0,7000.0
981,197729.0,655000.0
982,774603.0,927000.0
983,825915.0,869000.0
984,121788.0,115000.0
985,337740.0,620000.0
986,200536.0,82900.0
987,3281018.0,2799000.0
988,135833.0,144000.0
989,1211221.0,1899000.0
990,467396.0,649000.0
991,50666.0,600000.0
992,248602.0,299990.0
993,484376.0,514995.0
994,146937.0,89900.0
995,257339.0,239900.0
996,486270.0,370000.0
997,308381.0,179900.0
998,417357.0,615000.0
999,191683.0,142900.0
1000,845450.0,500000.0
1001,556135.0,546990.0
1002,701395.0,798000.0
1003,29855.0,7500.0
1004,89167.0,22000.0
1005,413716.0,359000.0
1006,292812.0,229900.0
1007,247218.0,445000.0
1008,413265.0,486900.0
1009,439071.0,459000.0
1010,406065.0,294900.0
1011,532577.0,719000.0
1012,261751.0,274900.0
1013,321809.0,325500.0
1014,500858.0,280000.0
1015,52784.0,55000.0
1016,396146.0,405000.0
1017,305359.0,259900.0
1018,220781.0,160000.0
1019,416433.0,525000.0
1020,314608.0,345000.0
1021,92145.0,25900.0
1022,508077.0,460000.0
1023,14489.0,13000.0
1024,248775.0,224490.0
1025,328507.0,270000.0
1026,672093.0,747831.0
1027,167282.0,210000.0
1028,247952.0,382000.0
1029,375583.0,499000.0
1030,592069.0,555000.0
1031,245061.0,309000.0
1032,320054.0,395900.0
1033,493286.0,700000.0
1034,161142.0,6900000.0
1035,2104930.0,2650000.0
1036,364213.0,415000.0
1037,115575.0,116000.0
1038,56227.0,54900.0
1039,249748.0,55000.0
1040,191607.0,180000.0
1041,276746.0,249999.0
1042,71272.0,54900.0
1043,238174.0,249900.0
1044,192395.0,225000.0
1045,471982.0,235000.0
1046,144513.0,360000.0
1047,396443.0,442000.0
1048,387421.0,399000.0
1049,60159.0,21000.0
1050,916997.0,335000.0
1051,104619.0,249900.0
1052,73553.0,92500.0
1053,244566.0,368888.0
1054,638749.0,780000.0
1055,211991.0,189900.0
1056,553757.0,899900.0
1057,585790.0,612000.0
1058,335743.0,417900.0
1059,208052.0,153000.0
1060,1909609.0,1440000.0
1061,3742111.0,2550000.0
1062,283142.0,330000.0
1063,181634.0,205000.0
1064,594481.0,433000.0
1065,1778399.0,1750000.0
1066,191229.0,295000.0
1067,228541.0,150000.0
1068,468391.0,461000.0
1069,500556.0,339000.0
1070,526939.0,509900.0
1071,194929.0,299000.0
1072,328674.0,369000.0
1073,153177.0,194500.0
1074,490382.0,432000.0
1075,734260.0,659900.0
1076,575056.0,689950.0
1077,330895.0,328990.0
1078,201445.0,198000.0
1079,296846.0,245000.0
1080,1215463.0,1595000.0
1081,149724.0,185000.0
1082,195486.0,140000.0
1083,337885.0,310000.0
1084,492051.0,467990.0
1085,209099.0,255000.0
1086,84855.0,79900.0
1087,150286.0,169900.0
1088,1348571.0,1150000.0
1089,246864.0,299900.0
1090,994380.0,1350000.0
1091,189270.0,175000.0
1092,848314.0,879000.0
1093,308877.0,439000.0
1094,1061315.0,997000.0
1095,436127.0,824900.0
1096,528095.0,599000.0
1097,111875.0,82000.0
1098,270257.0,269900.0
1099,116834.0,160000.0
1100,327082.0,569990.0
1101,129717.0,134000.0
1102,1217650.0,932000.0
1103,566826.0,469990.0
1104,893842.0,825000.0
1105,1905512.0,1288000.0
1106,742270.0,1200000.0
1107,246769.0,469900.0
1108,47917.0,39900.0
1109,131970.0,179900.0
1110,672445.0,835000.0
1111,150087.0,339000.0
1112,2741709.0,2750000.0
1113,656407.0,575000.0
1114,547393.0,675000.0
1115,224150.0,220000.0
1116,165399.0,144900.0
1117,243464.0,240990.0
1118,135196.0,507900.0
1119,147063.0,175000.0
1120,988578.0,699000.0
1121,870749.0,898000.0
1122,429318.0,349900.0
1123,414923.0,429000.0
1124,540899.0,485000.0
1125,1629882.0,1500000.0
1126,35032.0,29500.0
1127,686797.0,724950.0
1128,567693.0,524900.0
1129,55196.0,132500.0
1130,408399.0,383900.0
1131,294614.0,579000.0
1132,232835.0,190000.0
